15/07/2017,13:21:22,526231,911374,697977,803526,282731,519243,683161,87182,27799,4680,526714,912106,698392,803702,284387,521224,684564,88142,28105,4744,527409,912455,699279,806536,286252,524018,684347,88756,28234,4776,25.4
15/07/2017,13:23:43,528073,913089,700122,806725,287466,524420,684372,88828,28475,4853,528878,913841,701261,807797,289470,527316,686137,89490,28824,4914,528761,913804,701056,810131,290336,528931,684691,89953,28940,4952,25.6
15/07/2017,13:26:43,530906,914852,703708,815118,295402,534959,687244,91580,29633,5125,530960,915680,703709,815675,295804,536253,687332,92396,29761,5162,531333,916749,704055,815935,296121,536223,688121,92682,29881,5193,25.8
15/07/2017,13:28:41,532794,916946,705615,818257,299597,540922,689382,94317,30418,5316,532358,917199,706532,820721,300709,542698,689280,94613,30513,5339,532400,917003,706146,818956,300582,541999,689606,94601,30628,5377,25.9
15/07/2017,13:32:43,535600,920856,711441,829492,311445,555668,691691,98745,31978,5686,537624,922972,711338,830788,311372,555780,694019,99247,32122,5732,536146,922159,710537,830585,311850,556920,693689,100152,32374,5792,26.0
15/07/2017,13:35:43,537671,923628,713707,835287,316868,563402,695557,101856,32898,5939,537387,922858,712707,834618,316577,563183,695462,102735,33030,5978,537522,923328,712848,834203,316060,561800,694925,102883,33117,6003,26.2
15/07/2017,13:38:43,539106,923871,714764,837819,321332,568974,696793,105343,33861,6181,539228,924311,714928,839406,322562,569909,696494,106362,33846,6197,539004,924759,714099,839500,322778,570780,696332,106820,34076,6241,26.3
15/07/2017,13:41:29,539887,925139,716115,844705,327121,575382,697923,107611,34711,6416,539945,925456,715669,842737,326740,575783,698299,107628,34828,6456,540764,925932,716471,843242,327803,576424,698072,107777,34813,6449,26.5
15/07/2017,13:44:43,539748,924240,716460,843931,329885,579001,697421,108404,35327,6588,539170,923463,713644,842133,329685,577126,695780,108544,35215,6596,538490,921271,714172,841196,329985,578618,694871,108664,35557,6661,26.6
15/07/2017,13:47:43,536931,919270,713252,842578,331959,581157,696626,108650,35778,6746,536572,920077,713000,841981,330845,577740,694034,108911,35858,6794,538188,922599,713930,843114,332525,580736,695935,109497,36014,6811,26.8
15/07/2017,13:50:43,536347,919420,711739,842364,332693,579414,693124,109860,35981,6839,537457,920082,712138,841905,334114,581819,690742,109781,36325,6919,530278,903797,702080,829240,330005,573280,677595,107951,35817,6856,26.9
15/07/2017,13:53:43,445772,754909,601564,717532,288247,500084,585285,92067,30950,5878,421028,704950,555326,658510,265332,461931,538513,85875,29377,5640,403807,689124,565242,684817,280581,486611,563106,89892,30846,5943,27.1
15/07/2017,13:56:43,421170,708467,574664,699013,290539,508778,593031,98141,33753,6625,478019,805417,645701,776553,318648,550242,637196,103818,35358,6862,497126,841692,664622,793048,323466,556218,643211,105512,35978,7034,27.2
15/07/2017,13:58:41,534460,910007,708631,843572,343497,591141,688475,112724,38157,7447,520778,878178,685133,809113,326374,554709,631206,101536,34133,6593,403751,655252,527693,631804,261347,452855,519303,87433,31182,6287,27.3
15/07/2017,14:08:53,539590,919576,713852,853714,355899,606193,692310,120620,40296,8079,528690,899234,701803,841230,350889,597571,683468,119366,40073,8067,531069,900066,703189,842051,350959,598524,685192,120475,40098,8055,27.8
15/07/2017,14:20:44,545613,927644,721632,867544,369099,624195,702329,128413,42858,8853,546142,928296,721985,866742,368540,618587,692730,125411,41334,8453,523748,882330,682248,810254,342613,574863,643272,119106,40168,8313,28.5
15/07/2017,14:23:44,545993,929077,720645,864642,367563,620282,700472,126799,42670,8844,537991,909237,704356,840327,355159,593410,662272,119046,39790,8222,453616,762559,609188,747707,326294,555876,632848,116909,39393,8193,28.5
15/07/2017,14:26:44,512012,869439,679921,819408,347815,585818,661981,118413,40114,8393,515032,878758,685889,823503,349957,590527,670345,119066,40259,8318,525261,899452,697724,836859,352472,596749,684289,121797,41144,8566,28.6
15/07/2017,14:29:44,482962,823119,649122,788673,339589,577485,657919,118663,40011,8399,516433,881322,680825,810933,340845,575929,662906,119409,40033,8414,530961,910886,701334,837018,351886,594894,685503,123370,41491,8696,28.7
15/07/2017,14:31:51,535549,918955,706336,843535,357793,604428,691543,124039,41804,8778,535481,917237,704146,837603,348754,589235,687029,122235,40534,8481,524873,900469,688381,817431,343031,576890,675100,119668,38910,8070,28.7
15/07/2017,14:42:01,535146,925814,702150,832840,349299,588698,689381,126497,41134,8801,531749,926106,698327,819007,339601,570176,683454,124949,40092,8504,521246,917203,681853,798918,324054,518918,643479,117110,36650,7929,28.6
15/07/2017,14:52:42,527550,909597,694689,825686,349029,567869,666491,128228,41365,9048,532061,918626,695967,830894,356965,597430,684061,131951,42717,9365,536678,923022,708704,848068,370757,610017,678277,132060,44084,9735,28.6
15/07/2017,15:02:59,536924,932211,706112,835783,357917,585698,675879,130326,41257,9197,530697,929640,702408,842148,366975,608378,695565,136039,44770,9812,545040,936625,718411,863360,379233,623621,699582,137211,45068,9978,28.7
15/07/2017,15:13:25,549918,925907,709395,847248,380721,616636,650858,135636,46421,10622,540207,920529,716413,868548,395750,644780,684341,143169,47894,10743,416394,663334,514846,612622,281482,465228,501594,109489,39234,9117,29.2
15/07/2017,15:15:24,554440,943711,733805,896434,410209,668628,713220,149913,51293,11612,556123,945207,735051,896912,411017,668651,713993,149308,51208,11613,555506,944878,734433,894823,410654,667153,713641,149585,51284,11665,29.4
15/07/2017,15:17:44,556035,945179,734828,896154,411084,668684,713758,149557,51536,11728,555853,945194,734921,896386,412424,670571,713765,150370,51798,11796,556925,946239,736526,900969,416441,675563,715721,152384,52363,11955,29.4
15/07/2017,15:20:44,558865,947730,738988,905144,420853,682051,716546,156790,53165,12181,558772,947774,739648,906664,422986,684097,717238,158477,53330,12217,558339,946513,738628,904921,421561,681756,716733,157736,53231,12213,29.4
15/07/2017,15:23:44,557832,947477,737596,903814,420551,681727,717320,157721,53408,12279,559463,948914,739520,905651,422063,682390,717547,158608,53414,12299,559717,948945,740123,906994,423244,683960,718114,159516,53638,12341,29.4
15/07/2017,15:26:44,557196,948010,736860,904828,422918,686123,719398,160658,53973,12478,560176,950172,739536,905668,422618,681926,716156,160378,53187,12230,558832,948293,736681,903276,420681,679094,716100,159961,53128,12216,29.5
15/07/2017,15:29:44,560216,950104,739405,907753,424366,685155,718375,161156,53942,12517,562886,951470,743786,914497,432865,696455,719003,166138,55268,12827,558790,944089,741314,915405,434369,697083,721836,167726,55582,12914,29.7
15/07/2017,15:32:44,562157,951494,742808,913219,430886,692594,720231,163460,54950,12778,562442,951488,743267,914348,432407,694726,720444,165157,55222,12855,562427,951279,743442,916361,433894,696694,721896,166772,55657,12987,29.9
15/07/2017,15:42:59,566122,954803,746501,920472,440399,704457,722992,169386,56669,13333,565314,954727,746207,920791,441598,705992,723326,169484,56830,13375,565163,954451,746422,921754,441572,706678,723485,170171,57057,13462,30.9
15/07/2017,15:53:29,569183,957622,750572,931707,453217,720909,726540,178997,58991,14038,568994,957788,750401,930798,453259,719926,726790,178465,59056,14070,569452,958452,751310,930565,453830,720432,727373,178736,59290,14131,31.2
15/07/2017,15:56:44,568938,957970,750746,931336,453750,720528,727041,178941,59156,14097,569177,957853,750443,929534,452339,718069,726293,177539,58949,14054,569252,957080,749653,928789,452237,718556,726437,177146,58996,14090,31.2
15/07/2017,15:59:44,569242,957816,751794,933169,456069,723952,727593,180220,59858,14344,570793,959246,753044,936089,459756,727161,728928,180990,60167,14415,570524,960377,751282,935256,458422,725118,728216,180334,59924,14350,31.1
15/07/2017,16:02:44,569935,959704,752752,933800,457221,724877,727710,179192,59811,14359,570482,959984,750351,932779,457968,725091,728192,180022,59964,14383,570722,959805,752367,933848,457314,723763,727830,180816,60021,14397,31.2
15/07/2017,16:05:44,570322,958809,751945,935209,456854,724363,728321,180644,59999,14422,570226,959462,751104,933598,457953,724361,727669,182055,60176,14465,570507,959230,751923,934868,459077,725717,728131,182156,60217,14458,31.3
15/07/2017,16:08:44,571526,959929,753497,937042,461961,729897,728808,182423,60794,14639,571463,959873,753408,936753,461209,728294,728904,182488,60636,14608,571224,959877,752429,936179,460882,727931,728145,182022,60640,14626,31.5
15/07/2017,16:11:44,569954,958815,750365,931604,456658,722996,726719,178060,59891,14415,569580,958651,749982,931818,457116,722305,727122,178378,60171,14514,570451,958634,751304,933176,457955,723929,727099,178688,60223,14513,31.7
